RouterA,RouterB
83811,14593
3279,36049
32099,29257
18290,13435
88697,71483
11396,77398
55303,4166
3906,12281
28658,30496
66238,78908
3479,73564
26063,85182
71427,54988
28894,58879
77237,36464
852,20927
55393,44598
36422,20380
28222,44119
13397,12157
49798,12677
47053,45083
79132,34672
5696,60218
70285,16362
49616,10329
72358,38428
82398,81071
47401,75675
25204,9117
6007,86674
29872,37931
10459,30513
13239,49824
36435,59430
83321,47820
21320,48521
46567,27461
87842,34994
89594,84940
9359,79841
83228,22432
70011,32088
21418,60590
49736,35383
83887,73001
28786,89734
42505,7332
30022,4208
41348,52582
35094,8676
27654,74342
41246,27870
85910,65436
51857,84260
60143,18727
34719,18302
32326,73580
70645,34439
76623,56156
76485,52351
47448,28747
18132,66785
64687,11916
6176,14372
20034,82241
20970,89193
55334,78173
8327,50433
50020,78105
61349,69353
32954,72513
1505,89167
15015,89354
70382,34974
84013,44588
14622,38470
56986,20731
59471,426
34523,65613
23417,66543
13948,81960
39118,83749
66541,79819
26072,20033
49010,21175
70698,69515
75,78505
42488,64043
2553,14663
47577,40307
31386,7593
31572,74365
10323,11227
63700,9072
69823,16484
16829,86475
62297,72064
21644,34742
69164,79508
55462,27761
70687,26366
40858,52297
88040,85181
48945,57423
67840,59178
15861,32494
29452,8393
44314,2758
77111,72604
30162,77129
28865,943
9306,82720
7717,30008
8835,4118
43310,9288
67392,31196
36501,87685
63625,28081
70679,17343
74848,75526
61954,31851
61994,53355
24958,12364
12705,86375
56499,46439
55520,53884
61214,7101
88260,85650
84697,12900
7945,52773
44474,14323
32592,25113
24932,70293
58801,18374
55297,24051
36510,60638
32743,9881
58083,72133
12834,6631
85478,70856
1935,12225
30983,21799
53270,63654
63093,28017
52566,7686
21580,49673
283,51174
34761,59639
37389,55445
72846,86753
63789,20290
24891,38891
28535,7666
75915,71067
7990,41105
7493,6573
76570,62494
65910,69616
20636,7456
66563,10501
24357,8982
77993,8908
88502,30829
52924,15714
74669,32272
75881,77925
5210,81184
10746,54949
86164,76504
74086,68523
41468,34180
26773,87783
41181,31286
34815,51877
17155,88040
84608,39322
59930,41442
9509,1221
