Operation,RouterA,RouterB
CHECK_CONNECTIVITY,87159,44895
REMOVE_LINK,51993,64423
REMOVE_LINK,28165,4117
ADD_LINK,62466,4529
ADD_LINK,8621,82308
ADD_LINK,84187,38048
ADD_LINK,88700,22415
CHECK_CONNECTIVITY,13023,27015
ADD_LINK,88777,73709
REMOVE_LINK,8742,55727
ADD_LINK,87848,12818
ADD_LINK,84546,67382
REMOVE_LINK,44044,78998
CHECK_CONNECTIVITY,53520,5291
REMOVE_LINK,58164,12003
ADD_LINK,37302,73121
CHECK_CONNECTIVITY,14614,11587
REMOVE_LINK,39337,63081
CHECK_CONNECTIVITY,39782,42540
ADD_LINK,11628,53738
CHECK_CONNECTIVITY,74321,5787
CHECK_CONNECTIVITY,76210,48737
REMOVE_LINK,30754,60268
REMOVE_LINK,8887,20689
CHECK_CONNECTIVITY,45000,67793
REMOVE_LINK,69210,73496
CHECK_CONNECTIVITY,21191,24232
CHECK_CONNECTIVITY,40607,83807
ADD_LINK,18510,88195
REMOVE_LINK,22550,50449
CHECK_CONNECTIVITY,3896,3396
REMOVE_LINK,9776,81246
CHECK_CONNECTIVITY,16907,48389
REMOVE_LINK,3034,85940
ADD_LINK,50675,56115
ADD_LINK,19021,74628
ADD_LINK,28003,51252
ADD_LINK,30980,65912
ADD_LINK,47477,58761
ADD_LINK,72990,80541
ADD_LINK,44616,84339
CHECK_CONNECTIVITY,37087,54848
CHECK_CONNECTIVITY,36029,54126
CHECK_CONNECTIVITY,11893,47209
ADD_LINK,45389,17257
ADD_LINK,4863,50752
CHECK_CONNECTIVITY,31596,57859
CHECK_CONNECTIVITY,25875,53807
REMOVE_LINK,79042,72843
ADD_LINK,76947,27062
REMOVE_LINK,21767,81420
CHECK_CONNECTIVITY,86708,57896
ADD_LINK,15258,6647
CHECK_CONNECTIVITY,44128,3675
ADD_LINK,60032,25656
CHECK_CONNECTIVITY,69223,20437
REMOVE_LINK,48260,75509
REMOVE_LINK,15433,2575
CHECK_CONNECTIVITY,23330,67346
CHECK_CONNECTIVITY,62710,32951
CHECK_CONNECTIVITY,635,69591
ADD_LINK,79718,35334
ADD_LINK,24779,66726
REMOVE_LINK,58222,55462
CHECK_CONNECTIVITY,13360,38506
CHECK_CONNECTIVITY,78870,11512
REMOVE_LINK,3935,31357
CHECK_CONNECTIVITY,29613,38369
CHECK_CONNECTIVITY,38865,48471
REMOVE_LINK,55179,3650
ADD_LINK,40235,36411
ADD_LINK,73408,73769
ADD_LINK,14224,35298
ADD_LINK,39187,59410
CHECK_CONNECTIVITY,50772,58352
ADD_LINK,54142,65265
ADD_LINK,80396,21933
CHECK_CONNECTIVITY,83164,61791
CHECK_CONNECTIVITY,15487,46301
REMOVE_LINK,67320,25267
REMOVE_LINK,83786,8121
REMOVE_LINK,10255,49269
CHECK_CONNECTIVITY,79038,32572
REMOVE_LINK,37968,20440
CHECK_CONNECTIVITY,54310,14888
REMOVE_LINK,49018,6143
CHECK_CONNECTIVITY,15506,7368
REMOVE_LINK,21665,4718
ADD_LINK,16773,86548
ADD_LINK,81645,57674
CHECK_CONNECTIVITY,89932,32688
CHECK_CONNECTIVITY,69468,37550
CHECK_CONNECTIVITY,21985,72322
CHECK_CONNECTIVITY,17150,85182
CHECK_CONNECTIVITY,62100,39689
CHECK_CONNECTIVITY,80967,35291
CHECK_CONNECTIVITY,59967,375
CHECK_CONNECTIVITY,82438,46466
ADD_LINK,87043,3987
CHECK_CONNECTIVITY,22451,52086
REMOVE_LINK,29253,55664
REMOVE_LINK,32023,14591
CHECK_CONNECTIVITY,8504,70700
CHECK_CONNECTIVITY,89983,8235
ADD_LINK,37368,48002
ADD_LINK,28066,19223
ADD_LINK,9872,86897
CHECK_CONNECTIVITY,12804,88207
CHECK_CONNECTIVITY,39990,58002
ADD_LINK,75624,14643
CHECK_CONNECTIVITY,6390,89667
REMOVE_LINK,58142,38464
CHECK_CONNECTIVITY,27674,43892
CHECK_CONNECTIVITY,23214,3047
ADD_LINK,25061,40885
ADD_LINK,86298,39398
ADD_LINK,7015,86355
REMOVE_LINK,76595,87694
REMOVE_LINK,82888,65699
CHECK_CONNECTIVITY,28249,1560
CHECK_CONNECTIVITY,31711,38895
ADD_LINK,43691,43869
REMOVE_LINK,69365,6721
REMOVE_LINK,65481,43289
REMOVE_LINK,72266,46362
CHECK_CONNECTIVITY,22462,62662
REMOVE_LINK,23126,64706
CHECK_CONNECTIVITY,29950,728
ADD_LINK,39934,68389
ADD_LINK,12674,6103
ADD_LINK,82009,83631
ADD_LINK,50074,58148
ADD_LINK,18830,23577
CHECK_CONNECTIVITY,28728,88570
CHECK_CONNECTIVITY,11253,35571
