dataset,size,trial,structure,build_s,extract_s,comparisons,n,extract_ops
random,2000,1,BinaryHeap,0.000313,0.000164,0,2000,500
random,2000,1,BinomialHeap,0.003603,0.004992,8853,2000,500
random,2000,1,FibonacciHeap,0.001886,0.001868,5059,2000,500
random,2000,1,BinaryHeap,0.001307,0.000885,9931,2000,500
random,2000,1,BinomialHeap,0.002390,0.002856,8853,2000,500
random,2000,1,FibonacciHeap,0.001016,0.001035,5059,2000,500
random,2000,1,BinaryHeap,0.001166,0.000707,9931,2000,500
random,2000,1,BinomialHeap,0.002257,0.003156,8853,2000,500
random,2000,1,FibonacciHeap,0.000996,0.001062,5059,2000,500
random,2000,2,BinaryHeap,0.001139,0.000800,9931,2000,500
random,2000,2,BinomialHeap,0.003198,0.002662,8853,2000,500
random,2000,2,FibonacciHeap,0.001229,0.001079,5059,2000,500
random,2000,3,BinaryHeap,0.003931,0.000841,9931,2000,500
random,2000,3,BinomialHeap,0.002480,0.002633,8853,2000,500
random,2000,3,FibonacciHeap,0.001283,0.000963,5059,2000,500
random,5000,1,BinaryHeap,0.002854,0.000974,17391,5000,500
random,5000,1,BinomialHeap,0.006878,0.002799,12880,5000,500
random,5000,1,FibonacciHeap,0.003777,0.002471,12551,5000,500
random,5000,2,BinaryHeap,0.002948,0.000984,17391,5000,500
random,5000,2,BinomialHeap,0.010672,0.003667,12880,5000,500
random,5000,2,FibonacciHeap,0.002830,0.002620,12551,5000,500
random,5000,3,BinaryHeap,0.002865,0.001658,17391,5000,500
random,5000,3,BinomialHeap,0.007830,0.002920,12880,5000,500
random,5000,3,FibonacciHeap,0.002506,0.004094,12551,5000,500
random,10000,1,BinaryHeap,0.009361,0.001189,29254,10000,500
random,10000,1,BinomialHeap,0.016625,0.004181,18710,10000,500
random,10000,1,FibonacciHeap,0.013249,0.005628,25103,10000,500
random,10000,2,BinaryHeap,0.005777,0.001398,29254,10000,500
random,10000,2,BinomialHeap,0.013815,0.004501,18710,10000,500
random,10000,2,FibonacciHeap,0.008561,0.005860,25103,10000,500
random,10000,3,BinaryHeap,0.007036,0.001260,29254,10000,500
random,10000,3,BinomialHeap,0.019500,0.006620,18710,10000,500
random,10000,3,FibonacciHeap,0.009030,0.007740,25103,10000,500
nearly_sorted,2000,1,BinaryHeap,0.003062,0.002111,7580,2000,500
nearly_sorted,2000,1,BinomialHeap,0.007271,0.001854,5263,2000,500
nearly_sorted,2000,1,FibonacciHeap,0.002383,0.002848,5103,2000,500
nearly_sorted,2000,2,BinaryHeap,0.002817,0.001607,7580,2000,500
nearly_sorted,2000,2,BinomialHeap,0.005199,0.001222,5263,2000,500
nearly_sorted,2000,2,FibonacciHeap,0.001947,0.001923,5103,2000,500
nearly_sorted,2000,3,BinaryHeap,0.007521,0.001132,7580,2000,500
nearly_sorted,2000,3,BinomialHeap,0.058778,0.001639,5263,2000,500
nearly_sorted,2000,3,FibonacciHeap,0.002027,0.002056,5103,2000,500
nearly_sorted,5000,1,BinaryHeap,0.005627,0.002111,11550,5000,500
nearly_sorted,5000,1,BinomialHeap,0.010997,0.001886,8181,5000,500
nearly_sorted,5000,1,FibonacciHeap,0.004238,0.003215,12573,5000,500
nearly_sorted,5000,2,BinaryHeap,0.004645,0.001720,11550,5000,500
nearly_sorted,5000,2,BinomialHeap,0.019835,0.001884,8181,5000,500
